transaction_id,transaction_date,transaction_time,transaction_qty,store_id,product_id,unit_price
1,2023-01-01,07:06:11,2,5,32,3.0
2,2023-01-01,07:08:56,2,5,57,3.1
3,2023-01-01,07:14:04,2,5,59,4.5
4,2023-01-01,07:20:24,1,5,22,2.0
5,2023-01-01,07:22:41,2,5,57,3.1
6,2023-01-01,07:22:41,1,5,77,3.0
7,2023-01-01,07:25:49,1,5,22,2.0
8,2023-01-01,07:33:34,2,5,28,2.0
9,2023-01-01,07:39:13,1,5,39,4.25
10,2023-01-01,07:39:34,2,5,58,3.5
11,2023-01-01,07:43:05,1,5,56,2.55
12,2023-01-01,07:44:35,2,5,33,3.5
13,2023-01-01,07:45:51,1,5,51,3.0
14,2023-01-01,07:48:19,1,5,57,3.1
15,2023-01-01,07:52:36,2,5,87,3.0
16,2023-01-01,07:59:58,2,5,47,3.0
17,2023-01-01,07:59:58,1,5,79,3.75
18,2023-01-01,08:00:18,1,8,42,2.5
19,2023-01-01,08:00:39,2,8,59,4.5
20,2023-01-01,08:11:45,1,8,61,4.75
21,2023-01-01,08:17:27,2,8,33,3.5
22,2023-01-01,08:24:26,2,5,56,2.55
23,2023-01-01,08:24:26,1,5,69,3.25
24,2023-01-01,08:29:38,1,8,56,2.55
25,2023-01-01,08:31:23,1,8,40,3.75
26,2023-01-01,08:33:08,1,5,43,3.0
27,2023-01-01,08:33:08,1,5,76,3.5
28,2023-01-01,08:35:03,2,5,45,3.0
29,2023-01-01,08:35:03,1,5,71,3.75
30,2023-01-01,08:41:57,2,8,40,3.75
31,2023-01-01,08:52:03,1,8,38,3.75
32,2023-01-01,08:52:32,1,5,26,3.0
33,2023-01-01,08:54:33,2,5,27,3.5
34,2023-01-01,08:56:27,2,5,29,2.5
35,2023-01-01,08:57:46,1,8,54,2.5
36,2023-01-01,08:58:55,1,5,26,3.0
37,2023-01-01,09:00:12,1,5,55,4.0
38,2023-01-01,09:00:24,2,8,40,3.75
39,2023-01-01,09:07:13,1,8,45,3.0
40,2023-01-01,09:08:09,2,8,45,3.0
41,2023-01-01,09:08:13,1,8,24,3.0
42,2023-01-01,09:10:30,2,5,60,3.75
43,2023-01-01,09:10:30,1,5,78,4.5
44,2023-01-01,09:11:06,1,5,56,2.55
45,2023-01-01,09:11:06,1,5,77,3.0
46,2023-01-01,09:13:01,1,5,44,2.5
47,2023-01-01,09:13:15,2,5,56,2.55
48,2023-01-01,09:14:16,1,5,48,2.5
49,2023-01-01,09:14:17,1,8,23,2.5
50,2023-01-01,09:14:25,1,8,46,2.5
51,2023-01-01,09:14:41,1,8,32,3.0
52,2023-01-01,09:15:09,2,5,47,3.0
53,2023-01-01,09:15:13,2,5,43,3.0
54,2023-01-01,09:19:21,2,5,25,2.2
55,2023-01-01,09:19:26,1,8,59,4.5
56,2023-01-01,09:21:08,1,5,38,3.75
57,2023-01-01,09:22:17,1,8,45,3.0
58,2023-01-01,09:22:46,1,5,34,2.45
59,2023-01-01,09:29:56,2,8,36,3.75
60,2023-01-01,09:29:56,1,8,74,3.5
61,2023-01-01,09:29:57,1,8,53,3.0
62,2023-01-01,09:34:17,2,8,41,4.25
63,2023-01-01,09:40:13,1,5,41,4.25
64,2023-01-01,09:41:22,2,5,45,3.0
65,2023-01-01,09:41:22,1,5,79,3.75
66,2023-01-01,09:44:20,2,5,54,2.5
67,2023-01-01,09:44:46,1,5,24,3.0
68,2023-01-01,09:46:46,2,5,37,3.0
69,2023-01-01,09:47:40,2,8,40,3.75
70,2023-01-01,09:50:44,2,5,37,3.0
71,2023-01-01,09:50:44,1,5,69,3.25
72,2023-01-01,09:52:58,1,5,50,2.5
73,2023-01-01,09:53:28,1,8,47,3.0
74,2023-01-01,09:53:44,2,8,40,3.75
75,2023-01-01,09:53:44,1,8,72,3.25
76,2023-01-01,09:53:49,1,8,35,3.1
77,2023-01-01,09:54:46,1,5,23,2.5
78,2023-01-01,09:55:16,2,5,43,3.0
79,2023-01-01,09:56:30,1,8,22,2.0
80,2023-01-01,10:00:39,2,8,32,3.0
81,2023-01-01,10:03:55,2,8,36,3.75
82,2023-01-01,10:14:49,1,5,26,3.0
83,2023-01-01,10:14:49,1,5,71,3.75
84,2023-01-01,10:16:30,2,5,32,3.0
85,2023-01-01,10:16:33,1,8,54,2.5
86,2023-01-01,10:18:14,2,8,41,4.25
87,2023-01-01,10:18:52,2,5,25,2.2
88,2023-01-01,10:19:42,2,5,23,2.5
89,2023-01-01,10:24:19,1,8,54,2.5
90,2023-01-01,10:25:22,2,8,56,2.55
91,2023-01-01,10:25:45,2,5,58,3.5
92,2023-01-01,10:25:45,1,5,74,3.5
93,2023-01-01,10:27:48,2,8,47,3.0
94,2023-01-01,10:30:07,1,5,35,3.1
95,2023-01-01,10:30:07,1,5,70,3.25
96,2023-01-01,10:35:47,1,8,60,3.75
97,2023-01-01,10:41:53,1,5,59,4.5
98,2023-01-01,10:47:53,2,5,36,3.75
99,2023-01-01,10:49:13,2,8,51,3.0
100,2023-01-01,10:49:51,2,5,61,4.75
101,2023-01-01,10:51:17,1,5,47,3.0
102,2023-01-01,10:52:44,2,8,23,2.5
103,2023-01-01,10:52:44,1,8,73,3.75
104,2023-01-01,10:56:14,1,5,38,3.75
105,2023-01-01,10:56:14,1,5,76,3.5
106,2023-01-01,11:01:48,1,3,22,2.0
107,2023-01-01,11:01:58,1,3,38,3.75
108,2023-01-01,11:01:58,1,3,75,3.5
109,2023-01-01,11:03:25,2,5,47,3.0
110,2023-01-01,11:03:25,1,5,75,3.5
111,2023-01-01,11:04:32,2,8,39,4.25
112,2023-01-01,11:08:11,1,3,59,4.5
113,2023-01-01,11:08:59,2,8,51,3.0
114,2023-01-01,11:09:01,1,3,59,4.5
115,2023-01-01,11:10:21,1,3,47,3.0
116,2023-01-01,11:10:21,1,3,79,3.75
117,2023-01-01,11:10:58,1,3,46,2.5
118,2023-01-01,11:12:29,1,3,43,3.0
119,2023-01-01,11:16:02,2,3,45,3.0
120,2023-01-01,11:21:00,2,8,54,2.5
121,2023-01-01,11:21:04,2,5,51,3.0
122,2023-01-01,11:21:14,1,3,60,3.75
123,2023-01-01,11:23:01,1,8,31,2.2
124,2023-01-01,11:23:43,2,5,60,3.75
125,2023-01-01,11:23:43,1,5,77,3.0
126,2023-01-01,11:25:35,2,3,49,3.0
127,2023-01-01,11:25:37,2,5,40,3.75
128,2023-01-01,11:28:15,2,8,44,2.5
129,2023-01-01,11:28:29,2,3,33,3.5
130,2023-01-01,11:29:25,2,5,56,2.55
131,2023-01-01,11:29:57,2,8,35,3.1
132,2023-01-01,11:29:57,1,8,78,4.5
133,2023-01-01,11:30:22,1,8,23,2.5
134,2023-01-01,11:31:35,1,8,24,3.0
135,2023-01-01,11:31:43,2,5,51,3.0
136,2023-01-01,11:31:43,1,5,72,3.25
137,2023-01-01,11:31:53,2,5,54,2.5
138,2023-01-01,11:31:53,1,5,75,3.5
139,2023-01-01,11:39:14,1,5,60,3.75
140,2023-01-01,11:39:14,1,5,71,3.75
141,2023-01-01,11:40:26,2,3,52,2.5
142,2023-01-01,11:43:57,2,3,25,2.2
143,2023-01-01,11:44:09,1,5,38,3.75
144,2023-01-01,11:47:13,1,3,30,3.0
145,2023-01-01,11:48:56,2,8,50,2.5
146,2023-01-01,11:49:42,1,8,54,2.5
147,2023-01-01,11:49:42,1,8,72,3.25
148,2023-01-01,11:50:16,2,3,26,3.0
149,2023-01-01,11:50:23,2,3,36,3.75
150,2023-01-01,11:50:58,2,5,45,3.0
151,2023-01-01,11:51:30,2,8,33,3.5
152,2023-01-01,11:52:31,1,5,57,3.1
