transaction_id,transaction_date,transaction_time,transaction_qty,store_id,product_id,unit_price,customer_id
1,2023-01-01,07:06:11,2,5,32,3.0,14928
2,2023-01-01,07:08:56,2,5,57,3.1,8058
3,2023-01-01,07:14:04,2,5,59,4.5,8755
4,2023-01-01,07:20:24,1,5,22,2.0,6809
5,2023-01-01,07:22:41,2,5,57,3.1,10964
6,2023-01-01,07:22:41,1,5,77,3.0,4131
7,2023-01-01,07:25:49,1,5,22,2.0,17344
8,2023-01-01,07:33:34,2,5,28,2.0,17070
9,2023-01-01,07:39:13,1,5,39,4.25,2063
10,2023-01-01,07:39:34,2,5,58,3.5,1745
11,2023-01-01,07:43:05,1,5,56,2.55,8582
12,2023-01-01,07:44:35,2,5,33,3.5,13502
13,2023-01-01,07:45:51,1,5,51,3.0,12259
14,2023-01-01,07:48:19,1,5,57,3.1,4286
15,2023-01-01,07:52:36,2,5,87,3.0,11340
16,2023-01-01,07:59:58,2,5,47,3.0,447
17,2023-01-01,07:59:58,1,5,79,3.75,3502
18,2023-01-01,08:00:18,1,8,42,2.5,16933
19,2023-01-01,08:00:39,2,8,59,4.5,16909
20,2023-01-01,08:11:45,1,8,61,4.75,1460
21,2023-01-01,08:17:27,2,8,33,3.5,3091
22,2023-01-01,08:24:26,2,5,56,2.55,5769
23,2023-01-01,08:24:26,1,5,69,3.25,14852
24,2023-01-01,08:29:38,1,8,56,2.55,11177
25,2023-01-01,08:31:23,1,8,40,3.75,9608
26,2023-01-01,08:33:08,1,5,43,3.0,15327
27,2023-01-01,08:33:08,1,5,76,3.5,7405
28,2023-01-01,08:35:03,2,5,45,3.0,12709
29,2023-01-01,08:35:03,1,5,71,3.75,2048
30,2023-01-01,08:41:57,2,8,40,3.75,8959
31,2023-01-01,08:52:03,1,8,38,3.75,19707
32,2023-01-01,08:52:32,1,5,26,3.0,3144
33,2023-01-01,08:54:33,2,5,27,3.5,13408
34,2023-01-01,08:56:27,2,5,29,2.5,4691
35,2023-01-01,08:57:46,1,8,54,2.5,5474
36,2023-01-01,08:58:55,1,5,26,3.0,3157
37,2023-01-01,09:00:12,1,5,55,4.0,4950
38,2023-01-01,09:00:24,2,8,40,3.75,12780
39,2023-01-01,09:07:13,1,8,45,3.0,11674
40,2023-01-01,09:08:09,2,8,45,3.0,4966
41,2023-01-01,09:08:13,1,8,24,3.0,11447
42,2023-01-01,09:10:30,2,5,60,3.75,11480
43,2023-01-01,09:10:30,1,5,78,4.5,13841
44,2023-01-01,09:11:06,1,5,56,2.55,9982
45,2023-01-01,09:11:06,1,5,77,3.0,16055
46,2023-01-01,09:13:01,1,5,44,2.5,19057
47,2023-01-01,09:13:15,2,5,56,2.55,19599
48,2023-01-01,09:14:16,1,5,48,2.5,12218
49,2023-01-01,09:14:17,1,8,23,2.5,19866
50,2023-01-01,09:14:25,1,8,46,2.5,3567
51,2023-01-01,09:14:41,1,8,32,3.0,3695
52,2023-01-01,09:15:09,2,5,47,3.0,6759
53,2023-01-01,09:15:13,2,5,43,3.0,11266
54,2023-01-01,09:19:21,2,5,25,2.2,9164
55,2023-01-01,09:19:26,1,8,59,4.5,5772
56,2023-01-01,09:21:08,1,5,38,3.75,16499
57,2023-01-01,09:22:17,1,8,45,3.0,10953
58,2023-01-01,09:22:46,1,5,34,2.45,5872
59,2023-01-01,09:29:56,2,8,36,3.75,9563
60,2023-01-01,09:29:56,1,8,74,3.5,14932
61,2023-01-01,09:29:57,1,8,53,3.0,15140
62,2023-01-01,09:34:17,2,8,41,4.25,8607
63,2023-01-01,09:40:13,1,5,41,4.25,12730
64,2023-01-01,09:41:22,2,5,45,3.0,14833
65,2023-01-01,09:41:22,1,5,79,3.75,2586
66,2023-01-01,09:44:20,2,5,54,2.5,3578
67,2023-01-01,09:44:46,1,5,24,3.0,16394
68,2023-01-01,09:46:46,2,5,37,3.0,11590
69,2023-01-01,09:47:40,2,8,40,3.75,13901
70,2023-01-01,09:50:44,2,5,37,3.0,8793
71,2023-01-01,09:50:44,1,5,69,3.25,15843
72,2023-01-01,09:52:58,1,5,50,2.5,13312
73,2023-01-01,09:53:28,1,8,47,3.0,14162
74,2023-01-01,09:53:44,2,8,40,3.75,12617
75,2023-01-01,09:53:44,1,8,72,3.25,10349
76,2023-01-01,09:53:49,1,8,35,3.1,16832
77,2023-01-01,09:54:46,1,5,23,2.5,4828
78,2023-01-01,09:55:16,2,5,43,3.0,18334
79,2023-01-01,09:56:30,1,8,22,2.0,8922
80,2023-01-01,10:00:39,2,8,32,3.0,11301
81,2023-01-01,10:03:55,2,8,36,3.75,15824
82,2023-01-01,10:14:49,1,5,26,3.0,6372
83,2023-01-01,10:14:49,1,5,71,3.75,1535
84,2023-01-01,10:16:30,2,5,32,3.0,8091
85,2023-01-01,10:16:33,1,8,54,2.5,16535
86,2023-01-01,10:18:14,2,8,41,4.25,9670
87,2023-01-01,10:18:52,2,5,25,2.2,773
88,2023-01-01,10:19:42,2,5,23,2.5,18650
89,2023-01-01,10:24:19,1,8,54,2.5,16933
90,2023-01-01,10:25:22,2,8,56,2.55,11225
91,2023-01-01,10:25:45,2,5,58,3.5,3975
92,2023-01-01,10:25:45,1,5,74,3.5,8450
93,2023-01-01,10:27:48,2,8,47,3.0,8292
94,2023-01-01,10:30:07,1,5,35,3.1,8859
95,2023-01-01,10:30:07,1,5,70,3.25,2013
96,2023-01-01,10:35:47,1,8,60,3.75,19268
97,2023-01-01,10:41:53,1,5,59,4.5,7952
98,2023-01-01,10:47:53,2,5,36,3.75,13437
99,2023-01-01,10:49:13,2,8,51,3.0,14006
100,2023-01-01,10:49:51,2,5,61,4.75,12012
101,2023-01-01,10:51:17,1,5,47,3.0,15039
102,2023-01-01,10:52:44,2,8,23,2.5,6972
103,2023-01-01,10:52:44,1,8,73,3.75,7057
104,2023-01-01,10:56:14,1,5,38,3.75,13837
105,2023-01-01,10:56:14,1,5,76,3.5,11941
106,2023-01-01,11:01:48,1,3,22,2.0,7259
107,2023-01-01,11:01:58,1,3,38,3.75,6573
108,2023-01-01,11:01:58,1,3,75,3.5,4447
109,2023-01-01,11:03:25,2,5,47,3.0,11434
110,2023-01-01,11:03:25,1,5,75,3.5,2023
111,2023-01-01,11:04:32,2,8,39,4.25,18522
112,2023-01-01,11:08:11,1,3,59,4.5,9972
113,2023-01-01,11:08:59,2,8,51,3.0,6843
114,2023-01-01,11:09:01,1,3,59,4.5,18627
115,2023-01-01,11:10:21,1,3,47,3.0,17619
116,2023-01-01,11:10:21,1,3,79,3.75,9956
117,2023-01-01,11:10:58,1,3,46,2.5,6996
118,2023-01-01,11:12:29,1,3,43,3.0,12313
119,2023-01-01,11:16:02,2,3,45,3.0,13874
120,2023-01-01,11:21:00,2,8,54,2.5,11420
121,2023-01-01,11:21:04,2,5,51,3.0,1974
122,2023-01-01,11:21:14,1,3,60,3.75,18111
123,2023-01-01,11:23:01,1,8,31,2.2,5703
124,2023-01-01,11:23:43,2,5,60,3.75,16069
125,2023-01-01,11:23:43,1,5,77,3.0,13676
126,2023-01-01,11:25:35,2,3,49,3.0,10722
127,2023-01-01,11:25:37,2,5,40,3.75,14327
128,2023-01-01,11:28:15,2,8,44,2.5,10763
129,2023-01-01,11:28:29,2,3,33,3.5,526
130,2023-01-01,11:29:25,2,5,56,2.55,6032
131,2023-01-01,11:29:57,2,8,35,3.1,18269
132,2023-01-01,11:29:57,1,8,78,4.5,9238
133,2023-01-01,11:30:22,1,8,23,2.5,11264
134,2023-01-01,11:31:35,1,8,24,3.0,13339
135,2023-01-01,11:31:43,2,5,51,3.0,11344
136,2023-01-01,11:31:43,1,5,72,3.25,6274
137,2023-01-01,11:31:53,2,5,54,2.5,8869
138,2023-01-01,11:31:53,1,5,75,3.5,4131
139,2023-01-01,11:39:14,1,5,60,3.75,4747
140,2023-01-01,11:39:14,1,5,71,3.75,1891
141,2023-01-01,11:40:26,2,3,52,2.5,1458
142,2023-01-01,11:43:57,2,3,25,2.2,19459
143,2023-01-01,11:44:09,1,5,38,3.75,12643
144,2023-01-01,11:47:13,1,3,30,3.0,15073
145,2023-01-01,11:48:56,2,8,50,2.5,10986
146,2023-01-01,11:49:42,1,8,54,2.5,2096
147,2023-01-01,11:49:42,1,8,72,3.25,13799
148,2023-01-01,11:50:16,2,3,26,3.0,18877
149,2023-01-01,11:50:23,2,3,36,3.75,6746
150,2023-01-01,11:50:58,2,5,45,3.0,16451
151,2023-01-01,11:51:30,2,8,33,3.5,10391
152,2023-01-01,11:52:31,1,5,57,3.1,19676
153,2023-01-01,11:57:17,2,3,37,3.0,10705
154,2023-01-01,11:57:59,1,3,50,2.5,6412
155,2023-01-01,11:57:59,1,3,79,3.75,5844
156,2023-01-01,11:58:15,2,3,60,3.75,12320
157,2023-01-01,12:00:20,1,5,29,2.5,13805
158,2023-01-01,12:01:00,2,3,49,3.0,14071
159,2023-01-01,12:01:20,2,3,35,3.1,17578
160,2023-01-01,12:01:20,1,3,75,3.5,15909
161,2023-01-01,12:03:09,1,8,36,3.75,13651
162,2023-01-01,12:03:38,1,8,47,3.0,13663
163,2023-01-01,12:03:43,1,3,44,2.5,639
164,2023-01-01,12:04:22,2,8,27,3.5,13985
165,2023-01-01,12:05:31,2,3,52,2.5,8711
166,2023-01-01,12:06:29,1,5,46,2.5,7777
167,2023-01-01,12:07:42,1,8,24,3.0,13870
168,2023-01-01,12:08:21,1,5,43,3.0,17558
169,2023-01-01,12:08:36,1,8,35,3.1,15666
170,2023-01-01,12:09:11,2,3,28,2.0,7303
171,2023-01-01,12:09:12,2,8,50,2.5,18094
172,2023-01-01,12:13:07,2,5,38,3.75,6994
173,2023-01-01,12:14:26,2,8,35,3.1,15064
