date,year,month,month_name,day,day_of_week,day_name,week_of_year,is_weekend
2023-01-01,2023,1,January,1,6,Sunday,52,True
2023-01-02,2023,1,January,2,0,Monday,1,False
2023-01-03,2023,1,January,3,1,Tuesday,1,False
2023-01-04,2023,1,January,4,2,Wednesday,1,False
2023-01-05,2023,1,January,5,3,Thursday,1,False
2023-01-06,2023,1,January,6,4,Friday,1,False
2023-01-07,2023,1,January,7,5,Saturday,1,True
2023-01-08,2023,1,January,8,6,Sunday,1,True
2023-01-09,2023,1,January,9,0,Monday,2,False
2023-01-10,2023,1,January,10,1,Tuesday,2,False
2023-01-11,2023,1,January,11,2,Wednesday,2,False
2023-01-12,2023,1,January,12,3,Thursday,2,False
2023-01-13,2023,1,January,13,4,Friday,2,False
2023-01-14,2023,1,January,14,5,Saturday,2,True
2023-01-15,2023,1,January,15,6,Sunday,2,True
2023-01-16,2023,1,January,16,0,Monday,3,False
2023-01-17,2023,1,January,17,1,Tuesday,3,False
2023-01-18,2023,1,January,18,2,Wednesday,3,False
2023-01-19,2023,1,January,19,3,Thursday,3,False
2023-01-20,2023,1,January,20,4,Friday,3,False
2023-01-21,2023,1,January,21,5,Saturday,3,True
2023-01-22,2023,1,January,22,6,Sunday,3,True
2023-01-23,2023,1,January,23,0,Monday,4,False
2023-01-24,2023,1,January,24,1,Tuesday,4,False
2023-01-25,2023,1,January,25,2,Wednesday,4,False
2023-01-26,2023,1,January,26,3,Thursday,4,False
2023-01-27,2023,1,January,27,4,Friday,4,False
2023-01-28,2023,1,January,28,5,Saturday,4,True
2023-01-29,2023,1,January,29,6,Sunday,4,True
2023-01-30,2023,1,January,30,0,Monday,5,False
2023-01-31,2023,1,January,31,1,Tuesday,5,False
2023-02-01,2023,2,February,1,2,Wednesday,5,False
2023-02-02,2023,2,February,2,3,Thursday,5,False
2023-02-03,2023,2,February,3,4,Friday,5,False
2023-02-04,2023,2,February,4,5,Saturday,5,True
2023-02-05,2023,2,February,5,6,Sunday,5,True
2023-02-06,2023,2,February,6,0,Monday,6,False
2023-02-07,2023,2,February,7,1,Tuesday,6,False
2023-02-08,2023,2,February,8,2,Wednesday,6,False
2023-02-09,2023,2,February,9,3,Thursday,6,False
2023-02-10,2023,2,February,10,4,Friday,6,False
2023-02-11,2023,2,February,11,5,Saturday,6,True
2023-02-12,2023,2,February,12,6,Sunday,6,True
2023-02-13,2023,2,February,13,0,Monday,7,False
2023-02-14,2023,2,February,14,1,Tuesday,7,False
2023-02-15,2023,2,February,15,2,Wednesday,7,False
2023-02-16,2023,2,February,16,3,Thursday,7,False
2023-02-17,2023,2,February,17,4,Friday,7,False
2023-02-18,2023,2,February,18,5,Saturday,7,True
2023-02-19,2023,2,February,19,6,Sunday,7,True
2023-02-20,2023,2,February,20,0,Monday,8,False
2023-02-21,2023,2,February,21,1,Tuesday,8,False
2023-02-22,2023,2,February,22,2,Wednesday,8,False
2023-02-23,2023,2,February,23,3,Thursday,8,False
2023-02-24,2023,2,February,24,4,Friday,8,False
2023-02-25,2023,2,February,25,5,Saturday,8,True
2023-02-26,2023,2,February,26,6,Sunday,8,True
2023-02-27,2023,2,February,27,0,Monday,9,False
2023-02-28,2023,2,February,28,1,Tuesday,9,False
2023-03-01,2023,3,March,1,2,Wednesday,9,False
2023-03-02,2023,3,March,2,3,Thursday,9,False
