inventory_date,store_id,product_id,opening_stock,received_stock,sold_quantity,closing_stock,stockout_flag
2023-01-01,3,1,55,0,0,55,False
2023-01-01,3,2,94,34,0,128,False
2023-01-01,3,3,76,0,0,76,False
2023-01-01,3,4,79,0,0,79,False
2023-01-01,3,5,72,0,0,72,False
2023-01-01,3,6,109,0,0,109,False
2023-01-01,3,7,28,0,0,28,False
2023-01-01,3,8,84,0,0,84,False
2023-01-01,3,9,59,15,0,74,False
2023-01-01,3,10,51,0,0,51,False
2023-01-01,3,11,75,33,0,108,False
2023-01-01,3,12,122,0,0,122,False
2023-01-01,3,13,103,0,0,103,False
2023-01-01,3,14,91,0,0,91,False
2023-01-01,3,15,103,0,0,103,False
2023-01-01,3,16,90,0,0,90,False
2023-01-01,3,17,68,0,0,68,False
2023-01-01,3,18,50,0,0,50,False
2023-01-01,3,19,106,0,0,106,False
2023-01-01,3,20,60,0,0,60,False
2023-01-01,3,21,84,0,0,84,False
2023-01-01,3,22,54,0,5,49,False
2023-01-01,3,23,58,0,7,51,False
2023-01-01,3,24,94,0,5,89,False
2023-01-01,3,25,105,54,5,154,False
2023-01-01,3,26,94,23,4,113,False
2023-01-01,3,27,75,0,8,67,False
2023-01-01,3,28,104,0,10,94,False
2023-01-01,3,29,77,49,6,120,False
2023-01-01,3,30,76,56,5,127,False
2023-01-01,3,31,64,0,4,60,False
2023-01-01,3,32,61,0,6,55,False
2023-01-01,3,33,43,0,4,39,False
2023-01-01,3,34,77,11,8,80,False
2023-01-01,3,35,106,0,9,97,False
2023-01-01,3,36,42,0,10,32,False
2023-01-01,3,37,89,22,3,108,False
2023-01-01,3,38,90,0,10,80,False
2023-01-01,3,39,49,0,5,44,False
2023-01-01,3,40,73,0,4,69,False
2023-01-01,3,41,46,0,7,39,False
2023-01-01,3,42,100,0,10,90,False
2023-01-01,3,43,95,0,9,86,False
2023-01-01,3,44,62,0,8,54,False
2023-01-01,3,45,50,0,2,48,False
2023-01-01,3,46,113,0,9,104,False
2023-01-01,3,47,57,0,6,51,False
2023-01-01,3,48,113,0,0,113,False
2023-01-01,3,49,91,0,7,84,False
2023-01-01,3,50,101,0,4,97,False
2023-01-01,3,51,96,0,2,94,False
2023-01-01,3,52,51,0,9,42,False
2023-01-01,3,53,51,0,2,49,False
2023-01-01,3,54,73,0,9,64,False
2023-01-01,3,55,82,0,13,69,False
2023-01-01,3,56,32,45,6,71,False
2023-01-01,3,57,81,0,3,78,False
2023-01-01,3,58,32,59,11,80,False
2023-01-01,3,59,89,0,7,82,False
2023-01-01,3,60,87,25,13,99,False
2023-01-01,3,61,122,0,5,117,False
2023-01-01,3,63,85,0,0,85,False
2023-01-01,3,64,57,0,0,57,False
2023-01-01,3,65,109,0,0,109,False
2023-01-01,3,69,81,0,3,78,False
2023-01-01,3,70,71,0,1,70,False
2023-01-01,3,71,93,0,1,92,False
2023-01-01,3,72,56,0,0,56,False
2023-01-01,3,73,50,0,0,50,False
2023-01-01,3,74,58,0,1,57,False
2023-01-01,3,75,108,0,4,104,False
2023-01-01,3,76,43,58,1,100,False
2023-01-01,3,77,84,0,0,84,False
2023-01-01,3,78,38,0,1,37,False
2023-01-01,3,79,87,0,5,82,False
2023-01-01,3,81,77,0,0,77,False
2023-01-01,3,82,49,0,0,49,False
2023-01-01,3,83,54,51,0,105,False
2023-01-01,3,84,80,0,0,80,False
2023-01-01,3,87,96,34,0,130,False
2023-01-01,5,1,56,0,0,56,False
2023-01-01,5,2,100,12,0,112,False
2023-01-01,5,3,84,0,0,84,False
2023-01-01,5,4,67,0,0,67,False
2023-01-01,5,5,66,0,0,66,False
2023-01-01,5,6,112,0,0,112,False
2023-01-01,5,7,35,0,0,35,False
2023-01-01,5,8,80,0,0,80,False
2023-01-01,5,9,46,0,0,46,False
2023-01-01,5,10,27,0,0,27,False
2023-01-01,5,11,65,57,0,122,False
2023-01-01,5,12,100,0,0,100,False
2023-01-01,5,13,101,0,0,101,False
2023-01-01,5,14,101,0,0,101,False
2023-01-01,5,15,97,0,0,97,False
2023-01-01,5,16,95,48,0,143,False
2023-01-01,5,17,82,38,0,120,False
2023-01-01,5,18,34,0,0,34,False
2023-01-01,5,19,114,0,0,114,False
2023-01-01,5,20,71,37,0,108,False
2023-01-01,5,21,88,0,0,88,False
2023-01-01,5,22,53,25,3,75,False
2023-01-01,5,23,48,0,9,39,False
2023-01-01,5,24,114,0,5,109,False
2023-01-01,5,25,96,0,16,80,False
2023-01-01,5,26,84,0,3,81,False
2023-01-01,5,27,56,11,4,63,False
2023-01-01,5,28,96,0,5,91,False
2023-01-01,5,29,70,0,3,67,False
2023-01-01,5,30,64,0,4,60,False
2023-01-01,5,31,76,0,6,70,False
2023-01-01,5,32,56,38,4,90,False
2023-01-01,5,33,45,0,4,41,False
2023-01-01,5,34,74,0,5,69,False
2023-01-01,5,35,119,0,1,118,False
2023-01-01,5,36,27,21,5,43,False
2023-01-01,5,37,98,0,9,89,False
2023-01-01,5,38,89,0,7,82,False
2023-01-01,5,39,52,0,8,44,False
2023-01-01,5,40,98,0,7,91,False
2023-01-01,5,41,43,0,5,38,False
2023-01-01,5,42,107,0,3,104,False
2023-01-01,5,43,90,0,9,81,False
2023-01-01,5,44,68,16,5,79,False
2023-01-01,5,45,38,0,9,29,False
2023-01-01,5,46,104,0,2,102,False
2023-01-01,5,47,77,40,7,110,False
2023-01-01,5,48,120,0,2,118,False
2023-01-01,5,49,81,0,4,77,False
2023-01-01,5,50,105,51,4,152,False
2023-01-01,5,51,87,0,6,81,False
2023-01-01,5,52,56,34,2,88,False
2023-01-01,5,53,72,0,4,68,False
2023-01-01,5,54,70,0,6,64,False
2023-01-01,5,55,81,48,1,128,False
2023-01-01,5,56,31,0,10,21,False
2023-01-01,5,57,65,0,11,54,False
2023-01-01,5,58,34,34,4,64,False
2023-01-01,5,59,92,16,3,105,False
2023-01-01,5,60,101,22,8,115,False
2023-01-01,5,61,96,0,5,91,False
2023-01-01,5,63,92,0,0,92,False
2023-01-01,5,64,70,0,0,70,False
2023-01-01,5,65,103,52,0,155,False
2023-01-01,5,69,73,0,4,69,False
2023-01-01,5,70,55,0,2,53,False
2023-01-01,5,71,116,0,5,111,False
2023-01-01,5,72,66,0,4,62,False
2023-01-01,5,73,42,0,0,42,False
2023-01-01,5,74,62,0,2,60,False
2023-01-01,5,75,96,0,6,90,False
2023-01-01,5,76,60,0,3,57,False
2023-01-01,5,77,57,0,3,54,False
2023-01-01,5,78,52,38,2,88,False
2023-01-01,5,79,88,0,2,86,False
2023-01-01,5,81,79,0,0,79,False
2023-01-01,5,82,65,0,0,65,False
2023-01-01,5,83,50,0,0,50,False
2023-01-01,5,84,74,0,0,74,False
2023-01-01,5,87,91,13,4,100,False
2023-01-01,8,1,31,0,0,31,False
2023-01-01,8,2,98,0,0,98,False
2023-01-01,8,3,74,36,0,110,False
2023-01-01,8,4,74,35,0,109,False
2023-01-01,8,5,72,0,0,72,False
2023-01-01,8,6,90,0,0,90,False
2023-01-01,8,7,48,0,0,48,False
2023-01-01,8,8,87,0,0,87,False
2023-01-01,8,9,59,0,0,59,False
2023-01-01,8,10,28,0,0,28,False
2023-01-01,8,11,67,0,0,67,False
2023-01-01,8,12,112,0,0,112,False
2023-01-01,8,13,83,0,0,83,False
2023-01-01,8,14,89,0,0,89,False
2023-01-01,8,15,96,0,0,96,False
2023-01-01,8,16,86,34,0,120,False
2023-01-01,8,17,81,0,0,81,False
2023-01-01,8,18,33,0,0,33,False
2023-01-01,8,19,92,0,0,92,False
2023-01-01,8,20,73,0,0,73,False
2023-01-01,8,21,83,0,0,83,False
2023-01-01,8,22,54,0,7,47,False
2023-01-01,8,23,42,0,5,37,False
2023-01-01,8,24,121,0,8,113,False
