promotion_id,store_id,product_id,promotion_type,discount_percentage,start_date,end_date
1,5,61,Happy Hour,20.0,2023-01-01,2023-01-07
2,3,60,Seasonal Promotion,20.0,2023-01-08,2023-01-10
3,8,84,Product Discount,20.0,2023-01-15,2023-01-22
4,8,11,Seasonal Promotion,10.0,2023-01-22,2023-01-27
5,8,30,Product Discount,10.0,2023-01-29,2023-02-02
6,5,26,Product Discount,25.0,2023-02-05,2023-02-09
7,5,6,Weekend Promotion,10.0,2023-02-12,2023-02-15
8,5,42,Weekend Promotion,10.0,2023-02-12,2023-02-15
9,5,70,Weekend Promotion,10.0,2023-02-12,2023-02-15
10,5,47,Weekend Promotion,10.0,2023-02-12,2023-02-15
11,5,32,Weekend Promotion,10.0,2023-02-12,2023-02-15
12,3,14,Happy Hour,25.0,2023-02-19,2023-02-26
13,5,21,Happy Hour,20.0,2023-02-26,2023-03-04
14,8,73,Seasonal Promotion,25.0,2023-03-05,2023-03-09
15,5,50,Seasonal Promotion,15.0,2023-03-12,2023-03-15
16,8,75,Happy Hour,10.0,2023-03-19,2023-03-24
17,8,72,Seasonal Promotion,15.0,2023-03-26,2023-04-01
18,3,74,Weekend Promotion,15.0,2023-04-02,2023-04-09
19,3,3,Weekend Promotion,15.0,2023-04-02,2023-04-09
20,3,47,Weekend Promotion,15.0,2023-04-02,2023-04-09
21,3,46,Weekend Promotion,15.0,2023-04-02,2023-04-09
22,3,64,Weekend Promotion,15.0,2023-04-02,2023-04-09
23,3,41,Seasonal Promotion,15.0,2023-04-09,2023-04-12
24,5,23,Weekend Promotion,10.0,2023-04-16,2023-04-19
25,5,74,Weekend Promotion,10.0,2023-04-16,2023-04-19
26,5,25,Weekend Promotion,10.0,2023-04-16,2023-04-19
27,5,76,Weekend Promotion,10.0,2023-04-16,2023-04-19
28,5,46,Weekend Promotion,10.0,2023-04-16,2023-04-19
29,8,44,Seasonal Promotion,10.0,2023-04-23,2023-04-27
30,8,46,Product Discount,15.0,2023-04-30,2023-05-02
31,5,52,Weekend Promotion,25.0,2023-05-07,2023-05-13
32,5,48,Weekend Promotion,25.0,2023-05-07,2023-05-13
33,5,16,Weekend Promotion,25.0,2023-05-07,2023-05-13
34,5,70,Weekend Promotion,25.0,2023-05-07,2023-05-13
35,5,57,Weekend Promotion,25.0,2023-05-07,2023-05-13
36,5,2,Weekend Promotion,20.0,2023-05-14,2023-05-17
37,5,14,Weekend Promotion,20.0,2023-05-14,2023-05-17
38,5,79,Weekend Promotion,20.0,2023-05-14,2023-05-17
39,5,60,Weekend Promotion,20.0,2023-05-14,2023-05-17
40,5,5,Weekend Promotion,20.0,2023-05-14,2023-05-17
41,3,73,Seasonal Promotion,25.0,2023-05-21,2023-05-24
42,5,44,Seasonal Promotion,20.0,2023-05-28,2023-06-03
43,5,10,Weekend Promotion,20.0,2023-06-04,2023-06-10
44,5,24,Weekend Promotion,20.0,2023-06-04,2023-06-10
45,5,26,Weekend Promotion,20.0,2023-06-04,2023-06-10
46,5,59,Weekend Promotion,20.0,2023-06-04,2023-06-10
47,5,42,Weekend Promotion,20.0,2023-06-04,2023-06-10
48,3,13,Product Discount,10.0,2023-06-11,2023-06-13
49,5,13,Weekend Promotion,20.0,2023-06-18,2023-06-24
50,5,72,Weekend Promotion,20.0,2023-06-18,2023-06-24
51,5,74,Weekend Promotion,20.0,2023-06-18,2023-06-24
52,5,41,Weekend Promotion,20.0,2023-06-18,2023-06-24
53,5,24,Weekend Promotion,20.0,2023-06-18,2023-06-24
54,5,41,Product Discount,25.0,2023-06-25,2023-06-27
