date,location,temperature,rainfall_mm,weather_condition
2023-01-01,Astoria,5.91,0.0,Clear
2023-01-01,Lower Manhattan,7.25,7.7,Cloudy
2023-01-01,Hell's Kitchen,-0.85,0.0,Clear
2023-01-02,Astoria,5.38,1.42,Clear
2023-01-02,Lower Manhattan,4.95,0.0,Clear
2023-01-02,Hell's Kitchen,7.64,6.89,Cloudy
2023-01-03,Astoria,5.2,8.64,Rain
2023-01-03,Lower Manhattan,6.4,0.0,Clear
2023-01-03,Hell's Kitchen,6.11,0.0,Clear
2023-01-04,Astoria,7.64,2.75,Cloudy
2023-01-04,Lower Manhattan,4.45,0.0,Clear
2023-01-04,Hell's Kitchen,8.67,2.23,Cloudy
2023-01-05,Astoria,3.72,1.24,Clear
2023-01-05,Lower Manhattan,6.6,4.83,Cloudy
2023-01-05,Hell's Kitchen,6.24,5.15,Cloudy
2023-01-06,Astoria,11.42,0.97,Clear
2023-01-06,Lower Manhattan,3.46,0.0,Clear
2023-01-06,Hell's Kitchen,6.85,8.64,Rain
2023-01-07,Astoria,4.66,0.0,Clear
2023-01-07,Lower Manhattan,2.53,6.25,Cloudy
2023-01-07,Hell's Kitchen,7.23,5.72,Cloudy
2023-01-08,Astoria,3.0,4.16,Cloudy
2023-01-08,Lower Manhattan,5.35,4.09,Cloudy
2023-01-08,Hell's Kitchen,7.61,4.12,Cloudy
2023-01-09,Astoria,7.04,3.34,Cloudy
2023-01-09,Lower Manhattan,5.87,6.16,Cloudy
2023-01-09,Hell's Kitchen,0.63,1.4,Clear
2023-01-10,Astoria,3.59,0.0,Clear
2023-01-10,Lower Manhattan,4.17,10.47,Rain
2023-01-10,Hell's Kitchen,2.4,7.84,Cloudy
2023-01-11,Astoria,-0.05,1.33,Clear
2023-01-11,Lower Manhattan,5.49,5.93,Cloudy
2023-01-11,Hell's Kitchen,7.13,6.97,Cloudy
2023-01-12,Astoria,3.95,0.69,Clear
2023-01-12,Lower Manhattan,7.57,2.04,Cloudy
2023-01-12,Hell's Kitchen,1.17,0.0,Clear
2023-01-13,Astoria,2.24,5.49,Cloudy
2023-01-13,Lower Manhattan,5.43,6.45,Cloudy
2023-01-13,Hell's Kitchen,3.72,3.79,Cloudy
2023-01-14,Astoria,6.88,1.45,Clear
2023-01-14,Lower Manhattan,6.37,0.0,Clear
2023-01-14,Hell's Kitchen,3.91,1.09,Clear
2023-01-15,Astoria,1.41,5.43,Cloudy
2023-01-15,Lower Manhattan,3.59,3.06,Cloudy
2023-01-15,Hell's Kitchen,6.44,5.23,Cloudy
2023-01-16,Astoria,7.0,2.51,Cloudy
2023-01-16,Lower Manhattan,3.73,2.6,Cloudy
2023-01-16,Hell's Kitchen,-0.06,0.0,Clear
2023-01-17,Astoria,1.03,0.0,Clear
2023-01-17,Lower Manhattan,6.2,0.0,Clear
2023-01-17,Hell's Kitchen,3.87,9.5,Rain
2023-01-18,Astoria,3.93,6.69,Cloudy
2023-01-18,Lower Manhattan,2.2,1.97,Clear
2023-01-18,Hell's Kitchen,2.15,1.3,Clear
2023-01-19,Astoria,7.52,0.0,Clear
2023-01-19,Lower Manhattan,6.3,4.19,Cloudy
2023-01-19,Hell's Kitchen,3.22,0.0,Clear
2023-01-20,Astoria,5.22,0.35,Clear
2023-01-20,Lower Manhattan,5.7,3.11,Cloudy
2023-01-20,Hell's Kitchen,9.81,1.8,Clear
2023-01-21,Astoria,1.93,3.9,Cloudy
2023-01-21,Lower Manhattan,5.66,9.8,Rain
2023-01-21,Hell's Kitchen,7.51,4.78,Cloudy
2023-01-22,Astoria,9.39,0.0,Clear
2023-01-22,Lower Manhattan,3.08,0.0,Clear
2023-01-22,Hell's Kitchen,3.83,0.0,Clear
2023-01-23,Astoria,6.91,1.89,Clear
2023-01-23,Lower Manhattan,0.59,0.0,Clear
2023-01-23,Hell's Kitchen,5.94,7.19,Cloudy
2023-01-24,Astoria,10.99,17.57,Rain
2023-01-24,Lower Manhattan,6.24,0.0,Clear
2023-01-24,Hell's Kitchen,-1.4,4.34,Cloudy
2023-01-25,Astoria,2.56,0.92,Clear
2023-01-25,Lower Manhattan,3.16,2.3,Cloudy
2023-01-25,Hell's Kitchen,8.2,3.79,Cloudy
2023-01-26,Astoria,4.52,0.0,Clear
2023-01-26,Lower Manhattan,-0.02,0.57,Clear
2023-01-26,Hell's Kitchen,4.84,11.84,Rain
2023-01-27,Astoria,5.39,7.91,Cloudy
2023-01-27,Lower Manhattan,3.5,0.0,Clear
2023-01-27,Hell's Kitchen,2.1,0.0,Clear
2023-01-28,Astoria,11.39,0.0,Clear
2023-01-28,Lower Manhattan,7.52,0.0,Clear
2023-01-28,Hell's Kitchen,7.79,4.92,Cloudy
2023-01-29,Astoria,4.53,2.8,Cloudy
2023-01-29,Lower Manhattan,3.04,5.23,Cloudy
2023-01-29,Hell's Kitchen,3.64,0.0,Clear
2023-01-30,Astoria,1.17,3.86,Cloudy
2023-01-30,Lower Manhattan,9.74,3.8,Cloudy
2023-01-30,Hell's Kitchen,4.64,4.43,Cloudy
2023-01-31,Astoria,8.92,4.1,Cloudy
2023-01-31,Lower Manhattan,3.77,8.53,Rain
2023-01-31,Hell's Kitchen,6.29,10.68,Rain
2023-02-01,Astoria,5.55,0.0,Clear
2023-02-01,Lower Manhattan,0.9,11.25,Rain
2023-02-01,Hell's Kitchen,10.17,2.1,Cloudy
2023-02-02,Astoria,3.85,10.31,Rain
2023-02-02,Lower Manhattan,1.68,0.0,Clear
2023-02-02,Hell's Kitchen,6.93,1.03,Clear
2023-02-03,Astoria,4.98,2.18,Cloudy
2023-02-03,Lower Manhattan,6.01,10.04,Rain
2023-02-03,Hell's Kitchen,5.27,6.22,Cloudy
2023-02-04,Astoria,-1.15,2.76,Cloudy
2023-02-04,Lower Manhattan,2.47,0.0,Clear
2023-02-04,Hell's Kitchen,2.37,1.33,Clear
2023-02-05,Astoria,7.75,0.0,Clear
2023-02-05,Lower Manhattan,5.09,0.58,Clear
2023-02-05,Hell's Kitchen,4.02,8.01,Rain
2023-02-06,Astoria,6.61,9.69,Rain
2023-02-06,Lower Manhattan,4.54,0.0,Clear
2023-02-06,Hell's Kitchen,4.33,4.21,Cloudy
2023-02-07,Astoria,5.53,0.0,Clear
2023-02-07,Lower Manhattan,5.27,4.14,Cloudy
2023-02-07,Hell's Kitchen,12.55,12.38,Rain
2023-02-08,Astoria,2.44,1.56,Clear
2023-02-08,Lower Manhattan,0.61,0.05,Clear
2023-02-08,Hell's Kitchen,5.95,9.03,Rain
2023-02-09,Astoria,2.81,0.0,Clear
2023-02-09,Lower Manhattan,-1.44,2.19,Cloudy
2023-02-09,Hell's Kitchen,1.81,0.35,Clear
2023-02-10,Astoria,2.37,2.53,Cloudy
2023-02-10,Lower Manhattan,-0.27,0.0,Clear
2023-02-10,Hell's Kitchen,11.39,0.0,Clear
2023-02-11,Astoria,1.71,12.18,Rain
2023-02-11,Lower Manhattan,13.72,0.0,Clear
2023-02-11,Hell's Kitchen,3.9,4.71,Cloudy
2023-02-12,Astoria,10.19,0.0,Clear
2023-02-12,Lower Manhattan,4.26,6.89,Cloudy
2023-02-12,Hell's Kitchen,6.3,1.12,Clear
2023-02-13,Astoria,4.6,0.0,Clear
2023-02-13,Lower Manhattan,4.29,1.67,Clear
2023-02-13,Hell's Kitchen,5.7,0.22,Clear
2023-02-14,Astoria,6.41,8.06,Rain
2023-02-14,Lower Manhattan,5.47,4.76,Cloudy
2023-02-14,Hell's Kitchen,5.16,3.0,Cloudy
2023-02-15,Astoria,2.84,4.58,Cloudy
2023-02-15,Lower Manhattan,4.71,13.47,Rain
2023-02-15,Hell's Kitchen,9.72,4.93,Cloudy
2023-02-16,Astoria,2.71,0.0,Clear
2023-02-16,Lower Manhattan,8.57,4.31,Cloudy
2023-02-16,Hell's Kitchen,6.44,0.0,Clear
2023-02-17,Astoria,7.78,5.27,Cloudy
2023-02-17,Lower Manhattan,1.67,0.64,Clear
2023-02-17,Hell's Kitchen,5.79,3.26,Cloudy
2023-02-18,Astoria,4.12,2.48,Cloudy
2023-02-18,Lower Manhattan,4.24,3.76,Cloudy
2023-02-18,Hell's Kitchen,9.41,0.0,Clear
2023-02-19,Astoria,4.29,3.88,Cloudy
2023-02-19,Lower Manhattan,5.89,1.14,Clear
2023-02-19,Hell's Kitchen,-0.27,4.64,Cloudy
2023-02-20,Astoria,10.18,0.0,Clear
2023-02-20,Lower Manhattan,7.59,1.36,Clear
2023-02-20,Hell's Kitchen,4.82,0.0,Clear
2023-02-21,Astoria,4.0,9.5,Rain
2023-02-21,Lower Manhattan,6.75,11.66,Rain
2023-02-21,Hell's Kitchen,8.53,5.2,Cloudy
2023-02-22,Astoria,10.23,5.19,Cloudy
2023-02-22,Lower Manhattan,7.48,1.52,Clear
2023-02-22,Hell's Kitchen,5.2,0.0,Clear
2023-02-23,Astoria,7.97,0.0,Clear
2023-02-23,Lower Manhattan,7.35,2.05,Cloudy
2023-02-23,Hell's Kitchen,8.51,6.75,Cloudy
2023-02-24,Astoria,10.46,6.65,Cloudy
2023-02-24,Lower Manhattan,0.28,2.67,Cloudy
2023-02-24,Hell's Kitchen,1.48,0.41,Clear
2023-02-25,Astoria,9.53,6.19,Cloudy
2023-02-25,Lower Manhattan,2.9,0.0,Clear
2023-02-25,Hell's Kitchen,5.1,0.0,Clear
2023-02-26,Astoria,2.99,4.56,Cloudy
2023-02-26,Lower Manhattan,8.47,6.04,Cloudy
2023-02-26,Hell's Kitchen,-1.87,4.52,Cloudy
2023-02-27,Astoria,5.22,5.07,Cloudy
2023-02-27,Lower Manhattan,9.85,0.0,Clear
2023-02-27,Hell's Kitchen,3.23,5.95,Cloudy
2023-02-28,Astoria,0.26,10.38,Rain
2023-02-28,Lower Manhattan,6.11,7.23,Cloudy
2023-02-28,Hell's Kitchen,3.29,7.07,Cloudy
2023-03-01,Astoria,15.21,4.16,Cloudy
2023-03-01,Lower Manhattan,12.7,4.35,Cloudy
2023-03-01,Hell's Kitchen,9.41,2.26,Cloudy
2023-03-02,Astoria,11.54,4.92,Cloudy
2023-03-02,Lower Manhattan,15.0,0.0,Clear
2023-03-02,Hell's Kitchen,11.62,10.41,Rain
2023-03-03,Astoria,9.77,0.0,Clear
2023-03-03,Lower Manhattan,12.61,7.22,Cloudy
2023-03-03,Hell's Kitchen,12.03,9.64,Rain
2023-03-04,Astoria,14.57,7.21,Cloudy
2023-03-04,Lower Manhattan,13.66,14.64,Rain
2023-03-04,Hell's Kitchen,11.38,0.0,Clear
2023-03-05,Astoria,16.81,0.71,Clear
2023-03-05,Lower Manhattan,12.32,9.55,Rain
2023-03-05,Hell's Kitchen,7.19,0.0,Clear
2023-03-06,Astoria,7.2,0.0,Clear
2023-03-06,Lower Manhattan,13.32,5.62,Cloudy
2023-03-06,Hell's Kitchen,12.83,0.0,Clear
2023-03-07,Astoria,5.07,3.27,Cloudy
2023-03-07,Lower Manhattan,10.58,5.3,Cloudy
2023-03-07,Hell's Kitchen,14.11,3.69,Cloudy
2023-03-08,Astoria,14.28,4.15,Cloudy
2023-03-08,Lower Manhattan,13.59,0.0,Clear
2023-03-08,Hell's Kitchen,11.46,3.98,Cloudy
2023-03-09,Astoria,14.46,1.03,Clear
2023-03-09,Lower Manhattan,13.56,1.67,Clear
2023-03-09,Hell's Kitchen,11.65,7.15,Cloudy
2023-03-10,Astoria,6.02,0.0,Clear
2023-03-10,Lower Manhattan,7.55,0.0,Clear
2023-03-10,Hell's Kitchen,9.97,6.75,Cloudy
2023-03-11,Astoria,11.15,3.99,Cloudy
2023-03-11,Lower Manhattan,15.27,9.64,Rain
2023-03-11,Hell's Kitchen,11.79,9.77,Rain
2023-03-12,Astoria,12.28,0.0,Clear
2023-03-12,Lower Manhattan,10.22,0.0,Clear
2023-03-12,Hell's Kitchen,9.34,1.21,Clear
2023-03-13,Astoria,14.41,11.6,Rain
2023-03-13,Lower Manhattan,7.85,4.96,Cloudy
2023-03-13,Hell's Kitchen,8.88,5.37,Cloudy
2023-03-14,Astoria,11.61,0.0,Clear
2023-03-14,Lower Manhattan,14.78,0.0,Clear
2023-03-14,Hell's Kitchen,10.4,0.0,Clear
2023-03-15,Astoria,10.04,5.14,Cloudy
2023-03-15,Lower Manhattan,11.43,4.64,Cloudy
2023-03-15,Hell's Kitchen,13.09,9.6,Rain
2023-03-16,Astoria,10.97,0.0,Clear
2023-03-16,Lower Manhattan,15.2,1.34,Clear
2023-03-16,Hell's Kitchen,15.34,4.92,Cloudy
2023-03-17,Astoria,11.61,4.74,Cloudy
2023-03-17,Lower Manhattan,17.85,13.38,Rain
2023-03-17,Hell's Kitchen,12.21,3.8,Cloudy
2023-03-18,Astoria,15.23,0.0,Clear
2023-03-18,Lower Manhattan,13.0,2.87,Cloudy
2023-03-18,Hell's Kitchen,12.94,0.0,Clear
2023-03-19,Astoria,7.23,0.0,Clear
2023-03-19,Lower Manhattan,8.65,0.71,Clear
2023-03-19,Hell's Kitchen,11.12,12.69,Rain
2023-03-20,Astoria,15.32,0.0,Clear
2023-03-20,Lower Manhattan,13.04,0.96,Clear
2023-03-20,Hell's Kitchen,11.15,3.93,Cloudy
2023-03-21,Astoria,13.86,1.3,Clear
2023-03-21,Lower Manhattan,15.19,0.0,Clear
2023-03-21,Hell's Kitchen,12.02,15.99,Rain
2023-03-22,Astoria,12.67,10.17,Rain
2023-03-22,Lower Manhattan,12.27,5.9,Cloudy
2023-03-22,Hell's Kitchen,11.83,2.15,Cloudy
2023-03-23,Astoria,9.66,5.15,Cloudy
